answer_id,session_id,user_id,part,question_id,question_text,answer_text,duration_sec,target_band_overall,target_band_fc,target_band_lr,target_band_gra,target_band_pr,transcript_raw,source_type,quality_flag
ans_001,sess_001,550e8400-e29b-41d4-a716-446655440000,1,q_part1_001,What is your full name?,My full name is Anna Petrovna Ivanova. I'm from Moscow originally.,12,6.5,7.0,6.5,6.0,6.5,My full name is Anna Petrovna Ivanova. I'm from Moscow originally.,synthetic,ok
ans_002,sess_001,550e8400-e29b-41d4-a716-446655440000,1,q_part1_002,Do you work or study?,I'm currently studying at the university. I'm in my third year of economics program.,18,5.5,5.5,5.0,4.5,6.0,I'm currently studying at the university. I'm in my third year of economics program.,synthetic,ok
ans_003,sess_001,550e8400-e29b-41d4-a716-446655440000,2,q_part2_001,Describe a place you visited that made a strong impression on you.,"I'd like to talk about my trip to Japan last summer. It was absolutely fascinating. The culture is so different from what I'm used to. I visited Tokyo and Kyoto, and the contrast between modern technology and ancient traditions was incredible. The food was amazing too, especially the sushi and ramen. What impressed me most was how polite and organized everything was. I think this experience really broadened my perspective on different ways of living.",45,6.0,6.0,6.5,5.5,6.0,"I'd like to talk about my trip to Japan last summer. It was absolutely fascinating. The culture is so different from what I'm used to. I visited Tokyo and Kyoto, and the contrast between modern technology and ancient traditions was incredible. The food was amazing too, especially the sushi and ramen. What impressed me most was how polite and organized everything was. I think this experience really broadened my perspective on different ways of living.",synthetic,ok
ans_004,sess_002,550e8400-e29b-41d4-a716-446655440001,1,q_part1_003,Where are you from?,I'm from Saint Petersburg. It's a beautiful city with rich history and culture.,15,7.0,7.5,7.0,7.0,6.5,I'm from Saint Petersburg. It's a beautiful city with rich history and culture.,synthetic,ok
ans_005,sess_002,550e8400-e29b-41d4-a716-446655440001,3,q_part3_001,Do you think tourism has a positive or negative impact on local communities?,"Well, I think it's a mixed bag really. On one hand, tourism brings economic benefits to local communities. It creates jobs, supports local businesses, and can help preserve cultural heritage. However, there are also negative aspects like overcrowding, environmental damage, and sometimes the local culture gets commodified for tourists. I believe sustainable tourism is the key to balancing these factors.",38,7.0,7.0,7.5,7.0,7.0,"Well, I think it's a mixed bag really. On one hand, tourism brings economic benefits to local communities. It creates jobs, supports local businesses, and can help preserve cultural heritage. However, there are also negative aspects like overcrowding, environmental damage, and sometimes the local culture gets commodified for tourists. I believe sustainable tourism is the key to balancing these factors.",synthetic,ok
ans_006,sess_003,550e8400-e29b-41d4-a716-446655440002,1,q_part1_004,What do you like to do in your free time?,I like reading books and watching movies. Sometimes I go to gym.,14,4.5,4.0,4.5,4.5,4.5,I like reading books and watching movies. Sometimes I go to gym.,synthetic,ok
ans_007,sess_003,550e8400-e29b-41d4-a716-446655440002,2,q_part2_002,Describe a person who has influenced you.,I'd like to talk about my grandmother who has had a significant influence on my life. She was a remarkably kind and patient person who always put others before herself. I remember when I was growing up, she would cook delicious meals for our entire family every Sunday, and she never complained about the work. What impressed me most was how she always found time to help our neighbors, especially elderly people who lived alone. She taught me the importance of kindness and generosity through her actions, not just words. Looking back, I realize that her example shaped the way I treat people today. That's why I try to be like her - patient, caring, and always willing to help others.,48,5.5,6.0,5.5,5.5,6.0,I'd like to talk about my grandmother who has had a significant influence on my life. She was a remarkably kind and patient person who always put others before herself. I remember when I was growing up, she would cook delicious meals for our entire family every Sunday, and she never complained about the work. What impressed me most was how she always found time to help our neighbors, especially elderly people who lived alone. She taught me the importance of kindness and generosity through her actions, not just words. Looking back, I realize that her example shaped the way I treat people today. That's why I try to be like her - patient, caring, and always willing to help others.,synthetic,ok
ans_008,sess_004,550e8400-e29b-41d4-a716-446655440003,1,q_part1_005,Do you enjoy cooking?,"Yes, I do enjoy cooking quite a bit. I find it relaxing and creative. I usually cook on weekends when I have more time. I like trying new recipes from different cuisines, especially Italian and Asian dishes.",20,6.0,5.5,5.5,6.0,6.0,"Yes, I do enjoy cooking quite a bit. I find it relaxing and creative. I usually cook on weekends when I have more time. I like trying new recipes from different cuisines, especially Italian and Asian dishes.",synthetic,ok
ans_009,sess_004,550e8400-e29b-41d4-a716-446655440003,3,q_part3_002,How has technology changed the way people communicate?,"Technology has fundamentally transformed communication. Social media and messaging apps allow us to stay connected with people across the globe instantly. However, I think face-to-face communication has become less common, which might affect the quality of relationships. Video calls are a good middle ground, but they're not quite the same as meeting in person.",35,6.0,5.5,6.0,6.0,5.5,"Technology has fundamentally transformed communication. Social media and messaging apps allow us to stay connected with people across the globe instantly. However, I think face-to-face communication has become less common, which might affect the quality of relationships. Video calls are a good middle ground, but they're not quite the same as meeting in person.",synthetic,ok
ans_010,sess_005,550e8400-e29b-41d4-a716-446655440004,2,q_part2_003,Describe a memorable event from your childhood.,"I remember my first day at school very vividly. I was six years old and quite nervous, but also excited. My mother walked me to school, and I was wearing a new uniform. The classroom was bright and colorful, and I met my first teacher, Mrs. Johnson, who was very kind and welcoming. I made friends with a girl named Sarah, and we're still friends today. That day marked the beginning of my educational journey, and looking back, it was a significant milestone in my life.",42,7.5,8.0,7.5,8.0,7.5,"I remember my first day at school very vividly. I was six years old and quite nervous, but also excited. My mother walked me to school, and I was wearing a new uniform. The classroom was bright and colorful, and I met my first teacher, Mrs. Johnson, who was very kind and welcoming. I made friends with a girl named Sarah, and we're still friends today. That day marked the beginning of my educational journey, and looking back, it was a significant milestone in my life.",synthetic,ok
