answer_id,session_id,user_id,part,question_id,question_text,answer_text,duration_sec,target_band_overall,target_band_fc,target_band_lr,target_band_gra,target_band_pr,transcript_raw,source_type,quality_flag,sample_weight,is_inconsistent
ans_001,sess_001,550e8400-e29b-41d4-a716-446655440000,1,q_part1_001,What is your full name?,My full name is Anna Petrovna Ivanova. I'm from Moscow originally.,12,6.5,7.0,6.5,6.0,6.5,My full name is Anna Petrovna Ivanova. I'm from Moscow originally.,synthetic,ok,1.0,false
ans_002,sess_001,550e8400-e29b-41d4-a716-446655440000,1,q_part1_002,Do you work or study?,"Actually, Actually,... I'm quite interested in study (study?). I think it's a wonderful way to relax and I try to make time for it whenever possible.",22,5.5,5.5,5.0,4.5,6.0,"Actually, Actually,... I'm quite interested in study (study?). I think it's a wonderful way to relax and I try to make time for it whenever possible.",synthetic_v1.3,ok,1.0,false
ans_003,sess_001,550e8400-e29b-41d4-a716-446655440000,2,q_part2_001,Describe a place you visited that made a strong impression on you.,"I'd like to talk about my trip to Japan last summer. It was absolutely fascinating. The culture is so different from what I'm used to. I visited Tokyo and Kyoto, and the contrast between modern technology and ancient traditions was incredible. The food was amazing too, especially the sushi and ramen. What impressed me most was how polite and organized everything was. I think this experience really broadened my perspective on different ways of living.",45,6.0,6.0,6.5,5.5,6.0,"I'd like to talk about my trip to Japan last summer. It was absolutely fascinating. The culture is so different from what I'm used to. I visited Tokyo and Kyoto, and the contrast between modern technology and ancient traditions was incredible. The food was amazing too, especially the sushi and ramen. What impressed me most was how polite and organized everything was. I think this experience really broadened my perspective on different ways of living.",synthetic,ok,1.0,false
ans_004,sess_002,550e8400-e29b-41d4-a716-446655440001,1,q_part1_003,Where are you from?,I'm quite passionate about from (from?). I appreciate how it allows me to explore different perspectives and learn new things.,18,7.0,7.5,7.0,7.0,6.5,I'm quite passionate about from (from?). I appreciate how it allows me to explore different perspectives and learn new things.,synthetic_v1.3,inconsistent_weighted,0.4,true
ans_005,sess_002,550e8400-e29b-41d4-a716-446655440001,3,q_part3_001,Do you think tourism has a positive or negative impact on local communities?,"Well, I think it's a mixed bag really. On one hand, tourism brings economic benefits to local communities. It creates jobs, supports local businesses, and can help preserve cultural heritage. However, there are also negative aspects like overcrowding, environmental damage, and sometimes the local culture gets commodified for tourists. I believe sustainable tourism is the key to balancing these factors.",38,7.0,7.0,7.5,7.0,7.0,"Well, I think it's a mixed bag really. On one hand, tourism brings economic benefits to local communities. It creates jobs, supports local businesses, and can help preserve cultural heritage. However, there are also negative aspects like overcrowding, environmental damage, and sometimes the local culture gets commodified for tourists. I believe sustainable tourism is the key to balancing these factors.",synthetic,ok,1.0,false
ans_006,sess_003,550e8400-e29b-41d4-a716-446655440002,1,q_part1_004,What do you like to do in your free time?,I like reading books and watching movies. Sometimes I go to gym.,14,5.0,4.4,4.9,4.9,4.9,I like reading books and watching movies. Sometimes I go to gym.,synthetic,inconsistent_upgraded,1.0,true
ans_011,sess_006,550e8400-e29b-41d4-a716-446655440005,1,q_part1_006,Do you prefer reading books or watching films?,"Absolutely, I'm very interested in films (reading). I find that it provides a good combination of challenge and enjoyment that keeps me motivated.",24,8.0,8.0,8.0,8.0,7.5,"Absolutely, I'm very interested in films (reading). I find that it provides a good combination of challenge and enjoyment that keeps me motivated.",synthetic_v1.3,inconsistent_weighted,0.4,true
ans_012,sess_006,550e8400-e29b-41d4-a716-446655440005,2,q_part2_004,Describe a skill you would like to learn.,"I'd like to describe a skill, which represents one of the most meaningful experiences I've had. This occurred about three years ago, and it fundamentally reshaped my understanding. The most significant aspect was discovering new perspectives I hadn't considered before. I think what stood out was how it balanced challenge with genuine opportunity for development. What made it particularly profound was the way it connected different aspects of my life. Looking back, I realize this experience taught me about the importance of intellectual humility and sustained effort.",64,8.5,8.5,9.0,8.5,8.5,"I'd like to describe a skill, which represents one of the most meaningful experiences I've had. This occurred about three years ago, and it fundamentally reshaped my understanding. The most significant aspect was discovering new perspectives I hadn't considered before. I think what stood out was how it balanced challenge with genuine opportunity for development. What made it particularly profound was the way it connected different aspects of my life. Looking back, I realize this experience taught me about the importance of intellectual humility and sustained effort.",synthetic_v1.3,ok,1.0,false
ans_013,sess_006,550e8400-e29b-41d4-a716-446655440005,3,q_part3_003,Do you think it's better to learn skills through formal education or self-teaching?,"I think addressing learning outcomes effectively requires coordinated action across multiple levels. At the individual level, people can make informed decisions and adapt their practices. However, I also believe that institutional and policy frameworks are essential - they can create enabling conditions, provide resources, and ensure equitable access. I think the most effective solutions emerge when individual agency is supported by systemic structures. This means policies that empower people while providing necessary safeguards and support.",64,7.0,7.0,7.5,7.0,7.5,"I think addressing learning outcomes effectively requires coordinated action across multiple levels. At the individual level, people can make informed decisions and adapt their practices. However, I also believe that institutional and policy frameworks are essential - they can create enabling conditions, provide resources, and ensure equitable access. I think the most effective solutions emerge when individual agency is supported by systemic structures. This means policies that empower people while providing necessary safeguards and support.",synthetic_v1.3,ok,1.0,false
ans_014,sess_007,550e8400-e29b-41d4-a716-446655440006,1,q_part1_007,What kind of music do you like?,I like pop music. And sometimes rock. My favorite singer is... um... Taylor Swift. I listen music every day when I go to work. It makes me happy.,22,6.0,6.5,6.5,6.0,6.0,I like pop music. And sometimes rock. My favorite singer is... um... Taylor Swift. I listen music every day when I go to work. It makes me happy.,synthetic,ok,1.0,false
